ICD_10_CD,disease_name,age_group,year,week,count
A04.0,Escherichia coli (Vertoxigenic),10-14 years,2001,13,1
A04.0,Escherichia coli (Vertoxigenic),25-34 years,2001,13,1
A04.0,Escherichia coli (Vertoxigenic),35-54 years,2001,13,1
A04.0,Escherichia coli (Vertoxigenic),65-79 years,2001,13,1
A04.0,Escherichia coli (Vertoxigenic),35-54 years,2001,14,2
A04.0,Escherichia coli (Vertoxigenic),65-79 years,2001,14,1
A04.0,Escherichia coli (Vertoxigenic),1-4 years,2001,15,1
A04.0,Escherichia coli (Vertoxigenic),55-64 years,2001,15,1
A04.0,Escherichia coli (Vertoxigenic),25-34 years,2001,16,1
A04.0,Escherichia coli (Vertoxigenic),35-54 years,2001,16,1
A04.0,Escherichia coli (Vertoxigenic),55-64 years,2001,16,1
A04.0,Escherichia coli (Vertoxigenic),1-4 years,2001,17,2
A04.0,Escherichia coli (Vertoxigenic),20-24 years,2001,17,1
A04.0,Escherichia coli (Vertoxigenic),25-34 years,2001,17,1
A04.0,Escherichia coli (Vertoxigenic),20-24 years,2001,18,1
A04.0,Escherichia coli (Vertoxigenic),35-54 years,2001,18,2
A04.0,Escherichia coli (Vertoxigenic),1-4 years,2001,19,1
A04.0,Escherichia coli (Vertoxigenic),35-54 years,2001,19,2
A04.0,Escherichia coli (Vertoxigenic),65-79 years,2001,19,1
A04.0,Escherichia coli (Vertoxigenic),15-19 years,2001,20,1
A04.0,Escherichia coli (Vertoxigenic),1-4 years,2001,21,1
A04.0,Escherichia coli (Vertoxigenic),65-79 years,2001,21,1
A04.0,Escherichia coli (Vertoxigenic),80+ years,2001,21,1
A04.0,Escherichia coli (Vertoxigenic),10-14 years,2001,22,3
A04.0,Escherichia coli (Vertoxigenic),1-4 years,2001,22,5
A04.0,Escherichia coli (Vertoxigenic),15-19 years,2001,22,1
A04.0,Escherichia coli (Vertoxigenic),5-9 years,2001,22,1
A04.0,Escherichia coli (Vertoxigenic),65-79 years,2001,22,1
A04.0,Escherichia coli (Vertoxigenic),10-14 years,2001,23,1
A04.0,Escherichia coli (Vertoxigenic),1-4 years,2001,23,2
A04.0,Escherichia coli (Vertoxigenic),20-24 years,2001,23,1
A04.0,Escherichia coli (Vertoxigenic),25-34 years,2001,23,2
A04.0,Escherichia coli (Vertoxigenic),35-54 years,2001,23,2
A04.0,Escherichia coli (Vertoxigenic),55-64 years,2001,23,2
A04.0,Escherichia coli (Vertoxigenic),5-9 years,2001,23,1
A04.0,Escherichia coli (Vertoxigenic),10-14 years,2001,24,1
A04.0,Escherichia coli (Vertoxigenic),1-4 years,2001,24,4
A04.0,Escherichia coli (Vertoxigenic),15-19 years,2001,24,1
A04.0,Escherichia coli (Vertoxigenic),35-54 years,2001,24,2
A04.0,Escherichia coli (Vertoxigenic),5-9 years,2001,24,2
A04.0,Escherichia coli (Vertoxigenic),10-14 years,2001,25,2
A04.0,Escherichia coli (Vertoxigenic),1-4 years,2001,25,1
A04.0,Escherichia coli (Vertoxigenic),20-24 years,2001,25,3
A04.0,Escherichia coli (Vertoxigenic),25-34 years,2001,25,1
A04.0,Escherichia coli (Vertoxigenic),35-54 years,2001,25,5
A04.0,Escherichia coli (Vertoxigenic),55-64 years,2001,25,1
A04.0,Escherichia coli (Vertoxigenic),5-9 years,2001,25,2
A04.0,Escherichia coli (Vertoxigenic),65-79 years,2001,25,1
A04.0,Escherichia coli (Vertoxigenic),10-14 years,2001,26,1
A04.0,Escherichia coli (Vertoxigenic),1-4 years,2001,26,7
A04.0,Escherichia coli (Vertoxigenic),35-54 years,2001,26,3
A04.0,Escherichia coli (Vertoxigenic),55-64 years,2001,26,1
A04.0,Escherichia coli (Vertoxigenic),5-9 years,2001,26,2
A04.0,Escherichia coli (Vertoxigenic),10-14 years,2001,27,1
A04.0,Escherichia coli (Vertoxigenic),1-4 years,2001,27,3
A04.0,Escherichia coli (Vertoxigenic),20-24 years,2001,27,2
A04.0,Escherichia coli (Vertoxigenic),25-34 years,2001,27,1
A04.0,Escherichia coli (Vertoxigenic),35-54 years,2001,27,5
A04.0,Escherichia coli (Vertoxigenic),5-9 years,2001,27,2
A04.0,Escherichia coli (Vertoxigenic),65-79 years,2001,27,4
A04.0,Escherichia coli (Vertoxigenic),80+ years,2001,27,1
A04.0,Escherichia coli (Vertoxigenic),<1 year,2001,28,1
A04.0,Escherichia coli (Vertoxigenic),10-14 years,2001,28,3
A04.0,Escherichia coli (Vertoxigenic),1-4 years,2001,28,2
A04.0,Escherichia coli (Vertoxigenic),15-19 years,2001,28,3
A04.0,Escherichia coli (Vertoxigenic),20-24 years,2001,28,1
A04.0,Escherichia coli (Vertoxigenic),35-54 years,2001,28,1
A04.0,Escherichia coli (Vertoxigenic),65-79 years,2001,28,1
A04.0,Escherichia coli (Vertoxigenic),10-14 years,2001,29,1
A04.0,Escherichia coli (Vertoxigenic),1-4 years,2001,29,5
A04.0,Escherichia coli (Vertoxigenic),15-19 years,2001,29,2
A04.0,Escherichia coli (Vertoxigenic),25-34 years,2001,29,2
A04.0,Escherichia coli (Vertoxigenic),35-54 years,2001,29,6
A04.0,Escherichia coli (Vertoxigenic),5-9 years,2001,29,1
A04.0,Escherichia coli (Vertoxigenic),10-14 years,2001,30,2
A04.0,Escherichia coli (Vertoxigenic),1-4 years,2001,30,3
A04.0,Escherichia coli (Vertoxigenic),20-24 years,2001,30,1
A04.0,Escherichia coli (Vertoxigenic),25-34 years,2001,30,1
A04.0,Escherichia coli (Vertoxigenic),35-54 years,2001,30,2
A04.0,Escherichia coli (Vertoxigenic),55-64 years,2001,30,1
A04.0,Escherichia coli (Vertoxigenic),5-9 years,2001,30,2
A04.0,Escherichia coli (Vertoxigenic),80+ years,2001,30,1
A04.0,Escherichia coli (Vertoxigenic),10-14 years,2001,31,1
A04.0,Escherichia coli (Vertoxigenic),1-4 years,2001,31,2
A04.0,Escherichia coli (Vertoxigenic),15-19 years,2001,31,1
A04.0,Escherichia coli (Vertoxigenic),20-24 years,2001,31,1
A04.0,Escherichia coli (Vertoxigenic),35-54 years,2001,31,3
A04.0,Escherichia coli (Vertoxigenic),5-9 years,2001,31,1
A04.0,Escherichia coli (Vertoxigenic),1-4 years,2001,32,4
A04.0,Escherichia coli (Vertoxigenic),35-54 years,2001,32,1
A04.0,Escherichia coli (Vertoxigenic),55-64 years,2001,32,2
A04.0,Escherichia coli (Vertoxigenic),5-9 years,2001,32,1
A04.0,Escherichia coli (Vertoxigenic),1-4 years,2001,33,3
A04.0,Escherichia coli (Vertoxigenic),15-19 years,2001,33,2
A04.0,Escherichia coli (Vertoxigenic),25-34 years,2001,33,2
A04.0,Escherichia coli (Vertoxigenic),35-54 years,2001,33,2
A04.0,Escherichia coli (Vertoxigenic),5-9 years,2001,33,6
A04.0,Escherichia coli (Vertoxigenic),80+ years,2001,33,1
A04.0,Escherichia coli (Vertoxigenic),1-4 years,2001,34,2
A04.0,Escherichia coli (Vertoxigenic),35-54 years,2001,34,4
A04.0,Escherichia coli (Vertoxigenic),5-9 years,2001,34,4
A04.0,Escherichia coli (Vertoxigenic),1-4 years,2001,35,1
A04.0,Escherichia coli (Vertoxigenic),15-19 years,2001,35,1
A04.0,Escherichia coli (Vertoxigenic),35-54 years,2001,35,2
A04.0,Escherichia coli (Vertoxigenic),5-9 years,2001,35,2
A04.0,Escherichia coli (Vertoxigenic),<1 year,2001,36,1
A04.0,Escherichia coli (Vertoxigenic),10-14 years,2001,36,1
A04.0,Escherichia coli (Vertoxigenic),1-4 years,2001,36,2
A04.0,Escherichia coli (Vertoxigenic),20-24 years,2001,36,1
A04.0,Escherichia coli (Vertoxigenic),35-54 years,2001,36,1
A04.0,Escherichia coli (Vertoxigenic),5-9 years,2001,36,1
A04.0,Escherichia coli (Vertoxigenic),65-79 years,2001,36,1
A04.0,Escherichia coli (Vertoxigenic),1-4 years,2001,37,2
A04.0,Escherichia coli (Vertoxigenic),15-19 years,2001,37,1
A04.0,Escherichia coli (Vertoxigenic),25-34 years,2001,37,1
A04.0,Escherichia coli (Vertoxigenic),55-64 years,2001,37,1
A04.0,Escherichia coli (Vertoxigenic),5-9 years,2001,37,1
A04.0,Escherichia coli (Vertoxigenic),20-24 years,2001,38,1
A04.0,Escherichia coli (Vertoxigenic),35-54 years,2001,38,1
A04.0,Escherichia coli (Vertoxigenic),25-34 years,2001,39,1
A04.0,Escherichia coli (Vertoxigenic),35-54 years,2001,39,2
A04.0,Escherichia coli (Vertoxigenic),5-9 years,2001,39,1
A04.0,Escherichia coli (Vertoxigenic),10-14 years,2001,40,1
A04.0,Escherichia coli (Vertoxigenic),25-34 years,2001,40,1
A04.0,Escherichia coli (Vertoxigenic),35-54 years,2001,40,1
A04.0,Escherichia coli (Vertoxigenic),55-64 years,2001,40,1
A04.0,Escherichia coli (Vertoxigenic),5-9 years,2001,40,1
A04.0,Escherichia coli (Vertoxigenic),1-4 years,2001,41,1
A04.0,Escherichia coli (Vertoxigenic),20-24 years,2001,41,1
A04.0,Escherichia coli (Vertoxigenic),5-9 years,2001,41,1
A04.0,Escherichia coli (Vertoxigenic),65-79 years,2001,41,1
A04.0,Escherichia coli (Vertoxigenic),1-4 years,2001,42,1
A04.0,Escherichia coli (Vertoxigenic),20-24 years,2001,42,2
A04.0,Escherichia coli (Vertoxigenic),35-54 years,2001,42,2
A04.0,Escherichia coli (Vertoxigenic),20-24 years,2001,43,1
A04.0,Escherichia coli (Vertoxigenic),1-4 years,2001,44,1
A04.0,Escherichia coli (Vertoxigenic),15-19 years,2001,44,1
A04.0,Escherichia coli (Vertoxigenic),65-79 years,2001,44,1
A04.0,Escherichia coli (Vertoxigenic),20-24 years,2001,45,1
A04.0,Escherichia coli (Vertoxigenic),25-34 years,2001,46,1
A04.0,Escherichia coli (Vertoxigenic),35-54 years,2001,46,1
A04.0,Escherichia coli (Vertoxigenic),5-9 years,2001,46,1
A04.0,Escherichia coli (Vertoxigenic),10-14 years,2001,47,1
A04.0,Escherichia coli (Vertoxigenic),25-34 years,2001,47,1
A04.0,Escherichia coli (Vertoxigenic),35-54 years,2001,48,2
A04.0,Escherichia coli (Vertoxigenic),5-9 years,2001,48,1
A04.0,Escherichia coli (Vertoxigenic),35-54 years,2001,50,1
A04.0,Escherichia coli (Vertoxigenic),<1 year,2001,51,1
A04.0,Escherichia coli (Vertoxigenic),25-34 years,2001,51,1
A04.0,Escherichia coli (Vertoxigenic),<1 year,2002,0,1
A04.0,Escherichia coli (Vertoxigenic),65-79 years,2002,1,1
A04.0,Escherichia coli (Vertoxigenic),15-19 years,2002,3,1
A04.0,Escherichia coli (Vertoxigenic),1-4 years,2002,4,1
A04.0,Escherichia coli (Vertoxigenic),15-19 years,2002,4,1
A04.0,Escherichia coli (Vertoxigenic),10-14 years,2002,5,1
A04.0,Escherichia coli (Vertoxigenic),20-24 years,2002,5,1
A04.0,Escherichia coli (Vertoxigenic),20-24 years,2002,6,2
A04.0,Escherichia coli (Vertoxigenic),1-4 years,2002,7,1
A04.0,Escherichia coli (Vertoxigenic),65-79 years,2002,7,1
A04.0,Escherichia coli (Vertoxigenic),1-4 years,2002,8,1
A04.0,Escherichia coli (Vertoxigenic),80+ years,2002,10,1
A04.0,Escherichia coli (Vertoxigenic),1-4 years,2002,11,1
A04.0,Escherichia coli (Vertoxigenic),1-4 years,2002,12,1
A04.0,Escherichia coli (Vertoxigenic),10-14 years,2002,13,1
A04.0,Escherichia coli (Vertoxigenic),20-24 years,2002,13,1
A04.0,Escherichia coli (Vertoxigenic),20-24 years,2002,14,1
A04.0,Escherichia coli (Vertoxigenic),25-34 years,2002,14,1
A04.0,Escherichia coli (Vertoxigenic),1-4 years,2002,15,2
A04.0,Escherichia coli (Vertoxigenic),20-24 years,2002,15,1
A04.0,Escherichia coli (Vertoxigenic),1-4 years,2002,16,1
A04.0,Escherichia coli (Vertoxigenic),15-19 years,2002,16,1
A04.0,Escherichia coli (Vertoxigenic),35-54 years,2002,16,1
A04.0,Escherichia coli (Vertoxigenic),10-14 years,2002,17,2
A04.0,Escherichia coli (Vertoxigenic),35-54 years,2002,17,1
A04.0,Escherichia coli (Vertoxigenic),65-79 years,2002,17,1
A04.0,Escherichia coli (Vertoxigenic),10-14 years,2002,18,1
A04.0,Escherichia coli (Vertoxigenic),35-54 years,2002,18,1
A04.0,Escherichia coli (Vertoxigenic),55-64 years,2002,18,1
A04.0,Escherichia coli (Vertoxigenic),5-9 years,2002,18,1
A04.0,Escherichia coli (Vertoxigenic),80+ years,2002,18,1
A04.0,Escherichia coli (Vertoxigenic),10-14 years,2002,19,1
A04.0,Escherichia coli (Vertoxigenic),1-4 years,2002,19,2
A04.0,Escherichia coli (Vertoxigenic),35-54 years,2002,19,1
A04.0,Escherichia coli (Vertoxigenic),5-9 years,2002,19,3
A04.0,Escherichia coli (Vertoxigenic),65-79 years,2002,19,1
A04.0,Escherichia coli (Vertoxigenic),1-4 years,2002,20,1
A04.0,Escherichia coli (Vertoxigenic),20-24 years,2002,20,2
A04.0,Escherichia coli (Vertoxigenic),35-54 years,2002,20,1
A04.0,Escherichia coli (Vertoxigenic),55-64 years,2002,20,1
A04.0,Escherichia coli (Vertoxigenic),5-9 years,2002,20,1
A04.0,Escherichia coli (Vertoxigenic),65-79 years,2002,20,2
A04.0,Escherichia coli (Vertoxigenic),1-4 years,2002,21,3
A04.0,Escherichia coli (Vertoxigenic),15-19 years,2002,21,1
A04.0,Escherichia coli (Vertoxigenic),25-34 years,2002,21,1
A04.0,Escherichia coli (Vertoxigenic),35-54 years,2002,21,2
A04.0,Escherichia coli (Vertoxigenic),5-9 years,2002,21,5
A04.0,Escherichia coli (Vertoxigenic),65-79 years,2002,21,1
A04.0,Escherichia coli (Vertoxigenic),20-24 years,2002,22,1
A04.0,Escherichia coli (Vertoxigenic),35-54 years,2002,22,2
A04.0,Escherichia coli (Vertoxigenic),10-14 years,2002,23,2
A04.0,Escherichia coli (Vertoxigenic),1-4 years,2002,23,2
A04.0,Escherichia coli (Vertoxigenic),20-24 years,2002,23,1
A04.0,Escherichia coli (Vertoxigenic),10-14 years,2002,24,2
A04.0,Escherichia coli (Vertoxigenic),1-4 years,2002,24,3
A04.0,Escherichia coli (Vertoxigenic),25-34 years,2002,24,2
A04.0,Escherichia coli (Vertoxigenic),35-54 years,2002,24,1
A04.0,Escherichia coli (Vertoxigenic),5-9 years,2002,24,4
A04.0,Escherichia coli (Vertoxigenic),65-79 years,2002,24,1
A04.0,Escherichia coli (Vertoxigenic),1-4 years,2002,25,5
A04.0,Escherichia coli (Vertoxigenic),15-19 years,2002,25,1
A04.0,Escherichia coli (Vertoxigenic),25-34 years,2002,25,2
A04.0,Escherichia coli (Vertoxigenic),55-64 years,2002,25,1
A04.0,Escherichia coli (Vertoxigenic),5-9 years,2002,25,2
A04.0,Escherichia coli (Vertoxigenic),10-14 years,2002,26,1
A04.0,Escherichia coli (Vertoxigenic),1-4 years,2002,26,5
A04.0,Escherichia coli (Vertoxigenic),25-34 years,2002,26,1
A04.0,Escherichia coli (Vertoxigenic),35-54 years,2002,26,3
A04.0,Escherichia coli (Vertoxigenic),55-64 years,2002,26,1
A04.0,Escherichia coli (Vertoxigenic),1-4 years,2002,27,3
A04.0,Escherichia coli (Vertoxigenic),20-24 years,2002,27,2
A04.0,Escherichia coli (Vertoxigenic),25-34 years,2002,27,2
A04.0,Escherichia coli (Vertoxigenic),35-54 years,2002,27,2
A04.0,Escherichia coli (Vertoxigenic),55-64 years,2002,27,1
A04.0,Escherichia coli (Vertoxigenic),5-9 years,2002,27,1
A04.0,Escherichia coli (Vertoxigenic),1-4 years,2002,28,5
A04.0,Escherichia coli (Vertoxigenic),15-19 years,2002,28,1
A04.0,Escherichia coli (Vertoxigenic),25-34 years,2002,28,1
A04.0,Escherichia coli (Vertoxigenic),35-54 years,2002,28,2
A04.0,Escherichia coli (Vertoxigenic),55-64 years,2002,28,2
A04.0,Escherichia coli (Vertoxigenic),80+ years,2002,28,1
A04.0,Escherichia coli (Vertoxigenic),10-14 years,2002,29,2
A04.0,Escherichia coli (Vertoxigenic),1-4 years,2002,29,3
A04.0,Escherichia coli (Vertoxigenic),15-19 years,2002,29,1
A04.0,Escherichia coli (Vertoxigenic),20-24 years,2002,29,1
A04.0,Escherichia coli (Vertoxigenic),25-34 years,2002,29,2
A04.0,Escherichia coli (Vertoxigenic),35-54 years,2002,29,2
A04.0,Escherichia coli (Vertoxigenic),5-9 years,2002,29,2
A04.0,Escherichia coli (Vertoxigenic),65-79 years,2002,29,1
A04.0,Escherichia coli (Vertoxigenic),80+ years,2002,29,1
A04.0,Escherichia coli (Vertoxigenic),10-14 years,2002,30,4
A04.0,Escherichia coli (Vertoxigenic),1-4 years,2002,30,4
A04.0,Escherichia coli (Vertoxigenic),15-19 years,2002,30,2
A04.0,Escherichia coli (Vertoxigenic),20-24 years,2002,30,2
A04.0,Escherichia coli (Vertoxigenic),35-54 years,2002,30,1
A04.0,Escherichia coli (Vertoxigenic),55-64 years,2002,30,2
A04.0,Escherichia coli (Vertoxigenic),5-9 years,2002,30,4
A04.0,Escherichia coli (Vertoxigenic),65-79 years,2002,30,2
A04.0,Escherichia coli (Vertoxigenic),10-14 years,2002,31,1
A04.0,Escherichia coli (Vertoxigenic),1-4 years,2002,31,2
A04.0,Escherichia coli (Vertoxigenic),15-19 years,2002,31,1
A04.0,Escherichia coli (Vertoxigenic),20-24 years,2002,31,1
A04.0,Escherichia coli (Vertoxigenic),25-34 years,2002,31,1
A04.0,Escherichia coli (Vertoxigenic),35-54 years,2002,31,1
A04.0,Escherichia coli (Vertoxigenic),55-64 years,2002,31,1
A04.0,Escherichia coli (Vertoxigenic),10-14 years,2002,32,2
A04.0,Escherichia coli (Vertoxigenic),1-4 years,2002,32,5
A04.0,Escherichia coli (Vertoxigenic),25-34 years,2002,32,1
A04.0,Escherichia coli (Vertoxigenic),35-54 years,2002,32,3
A04.0,Escherichia coli (Vertoxigenic),55-64 years,2002,32,2
A04.0,Escherichia coli (Vertoxigenic),5-9 years,2002,32,2
A04.0,Escherichia coli (Vertoxigenic),1-4 years,2002,33,1
A04.0,Escherichia coli (Vertoxigenic),15-19 years,2002,33,2
A04.0,Escherichia coli (Vertoxigenic),20-24 years,2002,33,1
A04.0,Escherichia coli (Vertoxigenic),35-54 years,2002,33,1
A04.0,Escherichia coli (Vertoxigenic),5-9 years,2002,33,1
A04.0,Escherichia coli (Vertoxigenic),80+ years,2002,33,1
A04.0,Escherichia coli (Vertoxigenic),10-14 years,2002,34,1
A04.0,Escherichia coli (Vertoxigenic),1-4 years,2002,34,1
A04.0,Escherichia coli (Vertoxigenic),15-19 years,2002,34,2
A04.0,Escherichia coli (Vertoxigenic),35-54 years,2002,34,1
A04.0,Escherichia coli (Vertoxigenic),65-79 years,2002,34,1
A04.0,Escherichia coli (Vertoxigenic),1-4 years,2002,36,2
A04.0,Escherichia coli (Vertoxigenic),25-34 years,2002,36,1
A04.0,Escherichia coli (Vertoxigenic),10-14 years,2002,37,2
A04.0,Escherichia coli (Vertoxigenic),1-4 years,2002,37,1
A04.0,Escherichia coli (Vertoxigenic),20-24 years,2002,37,1
A04.0,Escherichia coli (Vertoxigenic),35-54 years,2002,37,1
A04.0,Escherichia coli (Vertoxigenic),5-9 years,2002,37,3
A04.0,Escherichia coli (Vertoxigenic),10-14 years,2002,38,1
A04.0,Escherichia coli (Vertoxigenic),15-19 years,2002,38,1
A04.0,Escherichia coli (Vertoxigenic),20-24 years,2002,38,1
A04.0,Escherichia coli (Vertoxigenic),55-64 years,2002,38,1
A04.0,Escherichia coli (Vertoxigenic),1-4 years,2002,39,1
A04.0,Escherichia coli (Vertoxigenic),35-54 years,2002,39,1
A04.0,Escherichia coli (Vertoxigenic),55-64 years,2002,39,1
A04.0,Escherichia coli (Vertoxigenic),5-9 years,2002,39,3
A04.0,Escherichia coli (Vertoxigenic),10-14 years,2002,40,1
A04.0,Escherichia coli (Vertoxigenic),1-4 years,2002,40,1
A04.0,Escherichia coli (Vertoxigenic),25-34 years,2002,40,1
A04.0,Escherichia coli (Vertoxigenic),55-64 years,2002,40,1
A04.0,Escherichia coli (Vertoxigenic),5-9 years,2002,40,1
A04.0,Escherichia coli (Vertoxigenic),20-24 years,2002,41,1
A04.0,Escherichia coli (Vertoxigenic),10-14 years,2002,42,1
A04.0,Escherichia coli (Vertoxigenic),1-4 years,2002,43,1
A04.0,Escherichia coli (Vertoxigenic),15-19 years,2002,43,1
A04.0,Escherichia coli (Vertoxigenic),25-34 years,2002,44,2
A04.0,Escherichia coli (Vertoxigenic),1-4 years,2002,45,1
A04.0,Escherichia coli (Vertoxigenic),65-79 years,2002,45,1
A04.0,Escherichia coli (Vertoxigenic),1-4 years,2002,46,1
A04.0,Escherichia coli (Vertoxigenic),20-24 years,2002,46,1
A04.0,Escherichia coli (Vertoxigenic),5-9 years,2002,46,1
A04.0,Escherichia coli (Vertoxigenic),1-4 years,2002,47,1
A04.0,Escherichia coli (Vertoxigenic),15-19 years,2002,47,1
A04.0,Escherichia coli (Vertoxigenic),25-34 years,2002,47,3
A04.0,Escherichia coli (Vertoxigenic),55-64 years,2002,47,1
A04.0,Escherichia coli (Vertoxigenic),5-9 years,2002,47,1
A04.0,Escherichia coli (Vertoxigenic),65-79 years,2002,47,1
A04.0,Escherichia coli (Vertoxigenic),25-34 years,2002,48,1
A04.0,Escherichia coli (Vertoxigenic),55-64 years,2002,48,2
A04.0,Escherichia coli (Vertoxigenic),5-9 years,2002,48,1
A04.0,Escherichia coli (Vertoxigenic),65-79 years,2002,48,1
A04.0,Escherichia coli (Vertoxigenic),5-9 years,2002,49,1
A04.0,Escherichia coli (Vertoxigenic),65-79 years,2002,49,1
A04.0,Escherichia coli (Vertoxigenic),20-24 years,2002,50,1
A04.0,Escherichia coli (Vertoxigenic),10-14 years,2002,51,1
A04.0,Escherichia coli (Vertoxigenic),1-4 years,2002,51,1
A04.0,Escherichia coli (Vertoxigenic),65-79 years,2002,51,2
A04.0,Escherichia coli (Vertoxigenic),1-4 years,2002,52,1
A04.0,Escherichia coli (Vertoxigenic),35-54 years,2002,52,1
A04.0,Escherichia coli (Vertoxigenic),5-9 years,2002,52,1
A04.0,Escherichia coli (Vertoxigenic),65-79 years,2002,52,1
A04.0,Escherichia coli (Vertoxigenic),25-34 years,2003,0,1
A04.0,Escherichia coli (Vertoxigenic),35-54 years,2003,1,1
A04.0,Escherichia coli (Vertoxigenic),55-64 years,2003,1,1
A04.0,Escherichia coli (Vertoxigenic),5-9 years,2003,1,1
A04.0,Escherichia coli (Vertoxigenic),1-4 years,2003,2,1
A04.0,Escherichia coli (Vertoxigenic),25-34 years,2003,2,1
A04.0,Escherichia coli (Vertoxigenic),35-54 years,2003,2,2
A04.0,Escherichia coli (Vertoxigenic),1-4 years,2003,3,1
A04.0,Escherichia coli (Vertoxigenic),35-54 years,2003,3,1
A04.0,Escherichia coli (Vertoxigenic),20-24 years,2003,4,1
A04.0,Escherichia coli (Vertoxigenic),35-54 years,2003,4,1
A04.0,Escherichia coli (Vertoxigenic),1-4 years,2003,5,1
A04.0,Escherichia coli (Vertoxigenic),55-64 years,2003,8,1
A04.0,Escherichia coli (Vertoxigenic),1-4 years,2003,9,1
A04.0,Escherichia coli (Vertoxigenic),25-34 years,2003,9,1
A04.0,Escherichia coli (Vertoxigenic),10-14 years,2003,10,1
A04.0,Escherichia coli (Vertoxigenic),15-19 years,2003,10,1
A04.0,Escherichia coli (Vertoxigenic),20-24 years,2003,10,1
A04.0,Escherichia coli (Vertoxigenic),55-64 years,2003,10,1
A04.0,Escherichia coli (Vertoxigenic),65-79 years,2003,10,2
A04.0,Escherichia coli (Vertoxigenic),15-19 years,2003,11,1
A04.0,Escherichia coli (Vertoxigenic),20-24 years,2003,11,1
A04.0,Escherichia coli (Vertoxigenic),55-64 years,2003,11,1
A04.0,Escherichia coli (Vertoxigenic),1-4 years,2003,12,1
A04.0,Escherichia coli (Vertoxigenic),20-24 years,2003,12,1
A04.0,Escherichia coli (Vertoxigenic),35-54 years,2003,12,2
A04.0,Escherichia coli (Vertoxigenic),10-14 years,2003,13,1
A04.0,Escherichia coli (Vertoxigenic),15-19 years,2003,13,1
A04.0,Escherichia coli (Vertoxigenic),20-24 years,2003,13,1
A04.0,Escherichia coli (Vertoxigenic),65-79 years,2003,13,1
A04.0,Escherichia coli (Vertoxigenic),10-14 years,2003,14,1
A04.0,Escherichia coli (Vertoxigenic),15-19 years,2003,14,1
A04.0,Escherichia coli (Vertoxigenic),5-9 years,2003,14,1
A04.0,Escherichia coli (Vertoxigenic),10-14 years,2003,15,1
A04.0,Escherichia coli (Vertoxigenic),1-4 years,2003,15,1
A04.0,Escherichia coli (Vertoxigenic),35-54 years,2003,15,1
A04.0,Escherichia coli (Vertoxigenic),20-24 years,2003,16,1
A04.0,Escherichia coli (Vertoxigenic),65-79 years,2003,16,1
A04.0,Escherichia coli (Vertoxigenic),10-14 years,2003,17,1
A04.0,Escherichia coli (Vertoxigenic),15-19 years,2003,17,1
A04.0,Escherichia coli (Vertoxigenic),5-9 years,2003,17,2
A04.0,Escherichia coli (Vertoxigenic),10-14 years,2003,18,1
A04.0,Escherichia coli (Vertoxigenic),1-4 years,2003,18,1
A04.0,Escherichia coli (Vertoxigenic),35-54 years,2003,18,1
A04.0,Escherichia coli (Vertoxigenic),20-24 years,2003,19,1
A04.0,Escherichia coli (Vertoxigenic),25-34 years,2003,19,1
A04.0,Escherichia coli (Vertoxigenic),1-4 years,2003,20,1
A04.0,Escherichia coli (Vertoxigenic),25-34 years,2003,20,1
A04.0,Escherichia coli (Vertoxigenic),5-9 years,2003,20,1
A04.0,Escherichia coli (Vertoxigenic),20-24 years,2003,22,2
A04.0,Escherichia coli (Vertoxigenic),25-34 years,2003,22,1
A04.0,Escherichia coli (Vertoxigenic),35-54 years,2003,22,3
A04.0,Escherichia coli (Vertoxigenic),55-64 years,2003,22,1
A04.0,Escherichia coli (Vertoxigenic),5-9 years,2003,22,2
A04.0,Escherichia coli (Vertoxigenic),10-14 years,2003,23,3
A04.0,Escherichia coli (Vertoxigenic),1-4 years,2003,23,4
A04.0,Escherichia coli (Vertoxigenic),20-24 years,2003,23,2
A04.0,Escherichia coli (Vertoxigenic),35-54 years,2003,23,1
A04.0,Escherichia coli (Vertoxigenic),15-19 years,2003,24,1
A04.0,Escherichia coli (Vertoxigenic),5-9 years,2003,24,1
A04.0,Escherichia coli (Vertoxigenic),10-14 years,2003,25,2
A04.0,Escherichia coli (Vertoxigenic),15-19 years,2003,25,1
A04.0,Escherichia coli (Vertoxigenic),20-24 years,2003,25,1
A04.0,Escherichia coli (Vertoxigenic),35-54 years,2003,25,1
A04.0,Escherichia coli (Vertoxigenic),55-64 years,2003,25,1
A04.0,Escherichia coli (Vertoxigenic),5-9 years,2003,25,1
A04.0,Escherichia coli (Vertoxigenic),65-79 years,2003,25,1
A04.0,Escherichia coli (Vertoxigenic),10-14 years,2003,26,1
A04.0,Escherichia coli (Vertoxigenic),1-4 years,2003,26,1
A04.0,Escherichia coli (Vertoxigenic),15-19 years,2003,26,1
A04.0,Escherichia coli (Vertoxigenic),35-54 years,2003,26,2
A04.0,Escherichia coli (Vertoxigenic),55-64 years,2003,26,1
A04.0,Escherichia coli (Vertoxigenic),1-4 years,2003,27,2
A04.0,Escherichia coli (Vertoxigenic),20-24 years,2003,27,1
A04.0,Escherichia coli (Vertoxigenic),25-34 years,2003,27,1
A04.0,Escherichia coli (Vertoxigenic),35-54 years,2003,27,1
A04.0,Escherichia coli (Vertoxigenic),1-4 years,2003,28,2
A04.0,Escherichia coli (Vertoxigenic),20-24 years,2003,28,1
