location,location_type,iso_3166,iso_3166_2
Mulgrave et Derry,municipality,,
Musseyville,municipality,,
"Méganitc, ville",municipality,,
Mégantic,municipality,,
"Mégantic, ville",municipality,,
Métis sur Mer,municipality,,
"N.-D. d'Hébertville, village",municipality,,
N.-D. de Bonsecours,municipality,,
N.-D. de Laurentides,municipality,,
N.-D. de Lourdes,municipality,,
"N.-D. de Portneuf, ville",municipality,,
N.-D. de la Doré,municipality,,
N.-D. de la Paix,municipality,,
N.-D. des Laurentides,municipality,,
N.-D. des Quinze,municipality,,
N.-D. des Quinze du canton Guigues,municipality,,
N.-D. du Lac,municipality,,
N.-D. du Mont Carmel,municipality,,
N.-D. du Portage,municipality,,
N.-D. du Sacré-Coeur d'Issoudun,municipality,,
N.B.,,CA,CA-NB
N.B.,province,CA,CA-NB
N.D. Auxiliatrice,municipality,,
N.D. de Bonsecours,municipality,,
"N.D. de Bonsecours, partie Nord",municipality,,
N.D. de Charny,municipality,,
N.D. de Lourdes,municipality,,
N.D. de Paix,municipality,,
N.D. de Stanbridge,municipality,,
N.D. de l'Isle Verte,municipality,,
N.D. de la Dore,municipality,,
N.D. de la Paix,municipality,,
N.D. des Anges,municipality,,
N.D. des Quinze,municipality,,
N.D. du Lac,municipality,,
N.D. du Mont Carmel,municipality,,
N.D. du Portage,municipality,,
N.E.I.,,CA,CA-PE
N.S,,CA,CA-NS
N.S,province,CA,CA-NS
N.S.,,CA,CA-NS
N.S.,province,CA,CA-NS
N.S. - N.E.,province,CA,CA-NS
N.W.T.,,CA,CA-NT
N.W.T.,province,CA,CA-NT
N.W.T. - T.N.O.,province,CA,CA-NT
NEW BRUNSWICK,,CA,CA-NB
NFLD,,CA,CA-NL
NFLD,province,CA,CA-NL
NFLD.,,CA,CA-NL
NFLD.,province,CA,CA-NL
NFLD. - T.-N.,province,CA,CA-NL
NLD.,province,CA,CA-NL
NLD.,,CA,CA-NL
NLFD.,,CA,CA-NL
NLFD.,province,CA,CA-NL
NORTHWEST TERRITORIES,,CA,CA-NT
NOVA SCOTIA,,CA,CA-NS
Napierville,municipality,,
Natashquan,municipality,,
"Natashquan, canton - township",municipality,,
"Ned,lec, canton (township)",municipality,,
Ned.lec. Canton (township),municipality,,
Nedelac,municipality,,
Nedelec,municipality,,
Nelson,municipality,,
Neuville,municipality,,
"Neuville, village",municipality,,
New Brunswick,,CA,CA-NB
New Brunswick,province,CA,CA-NB
New Brunswick,prov,CA,CA-NB
New Carlisle,municipality,,
New Glasgow,municipality,,
New-Carlisle,municipality,,
New-Glasgow,municipality,,
New-Richmond,municipality,,
New-Rockland,municipality,,
Newfoundland,,CA,CA-NL
Newfoundland,province,CA,CA-NL
Newfoundland and Labrador,,CA,CA-NL
Newfoundland and Labrador,prov,CA,CA-NL
Newport,municipality,,
Nfld.,,CA,CA-NL
Nicolet,municipality,,
Nicolet ville,municipality,,
"Nicolet, ville",municipality,,
"Nicolet, ville (town)",municipality,,
"Nicolet, ville - town",municipality,,
Nominingue,municipality,,
Normandin,municipality,,
North Hatley,municipality,,
North west Territories,,CA,CA-NT
North west Territories,province,CA,CA-NT
Northfield,municipality,,
Northwest Territories,,CA,CA-NT
Northwest Territories,province,CA,CA-NT
Northwest Territories,prov,CA,CA-NT
Northwest Territories including Nunavut,,CA,CA-NT
Notre-Dame de Buckland,municipality,,
Notre-Dame de Charny,municipality,,
Notre-Dame de Horton,municipality,,
Notre-Dame de Lac,municipality,,
Notre-Dame de Lourdes,municipality,,
Notre-Dame de Portneuf,municipality,,
Notre-Dame de l'Auberiviere,municipality,,
Notre-Dame de la Victoire,municipality,,
Notre-Dame des Anges,municipality,,
Notre-Dame du Lac,municipality,,
Notre-Dame du Lc,municipality,,
Notre-Dame du Portage,municipality,,
Notre-Dame du Prtage,municipality,,
Nouveau Salaberry,municipality,,
Nova Scotia,,CA,CA-NS
Nova Scotia,province,CA,CA-NS
Nova Scotia,prov,CA,CA-NS
Nunavut,,CA,CA-NU
Nunavut,province,CA,CA-NU
Nédélec,municipality,,
"Nédélec, partie Sud",municipality,,
ONT.,,CA,CA-ON
ONT.,province,CA,CA-ON
ONTARIO,,CA,CA-ON
ONTARIO,province,CA,CA-ON
Oka,municipality,,
Onslow,municipality,,
Onslow Sud (South),municipality,,
Ont.,,CA,CA-ON
Ont.,province,CA,CA-ON
Ontario,,CA,CA-ON
Ontario,province,CA,CA-ON
Ontario,prov,CA,CA-ON
Ontatio,,CA,CA-ON
Ontatio,province,CA,CA-ON
"Orford, canton",municipality,,
Ormstown,municipality,,
"Ormstown, par",municipality,,
"Ormstown, paroisse",municipality,,
"Ormstown, paroisse (parish)",municipality,,
"Ormstown, praoisse",municipality,,
"Ormstown, village",municipality,,
Ouimet & Masse,municipality,,
Outermont,municipality,,
Outremon,municipality,,
Outremont,municipality,,
Outreont,municipality,,
Oxford,municipality,,
P.E.I,,CA,CA-PE
P.E.I,province,CA,CA-PE
P.E.I.,,CA,CA-PE
P.E.I.,province,CA,CA-PE
P.E.I. - I.P.E.,province,CA,CA-PE
P.E.I..,province,CA,CA-PE
P.E.I..,,CA,CA-PE
PRINCE EDWARD ISLAND,,CA,CA-PE
Pabos,municipality,,
Pabos (Ste-Adelaide),municipality,,
Papineauville,municipality,,
Parisville,municipality,,
Pasbebiac,municipality,,
Paspebiac,municipality,,
Paspébiac,municipality,,
Perce,municipality,,
Petit-Metis,municipality,,
Philipsburg,municipality,,
Pierreville,municipality,,
"Pierreville, village",municipality,,
Pintendre,municipality,,
Plaisance,municipality,,
Plessesville,municipality,,
Plessisville,municipality,,
Plessiville,municipality,,
Plessville,municipality,,
"Pohnegamooke, c'ton - township",municipality,,
Point au Pic,municipality,,
Point-au-Pic,municipality,,
Point-aux-Trembles,municipality,,
Pointe Claire,municipality,,
"Pointe Claire, village",municipality,,
"Pointe Claire, ville",municipality,,
Pointe Fortune,municipality,,
Pointe Gatineau,municipality,,
Pointe au Pic,municipality,,
Pointe au pic,municipality,,
Pointe aux Trembles,municipality,,
"Pointe aux Trembles, ville (town)",municipality,,
Pointe du Lac,municipality,,
Pointe à Gatineau,municipality,,
Pointe-Bleue,municipality,,
Pointe-Claire,municipality,,
"Pointe-Claire, ville",municipality,,
"Pointe-Claire, ville - town",municipality,,
Pointe-au-Pere,municipality,,
Pointe-au-Pic,municipality,,
"Pointe-aux Trembles, parish",municipality,,
"Pointe-aux Trembles, town",municipality,,
Pointe-aux-Trembles,municipality,,
"Pointe-aux-Trembles,parish",municipality,,
"Pointe-aux-Trembles,town",municipality,,
Pointe-du-Lac,municipality,,
Pointte Claire,municipality,,
Ponsonby,municipality,,
Pont Rouge,municipality,,
Pont Rouge village,municipality,,
"Pont Rouge, parish",municipality,,
"Pont Rouge, village",municipality,,
Pont-Rouge,municipality,,
"Pont-Rouge, village",municipality,,
"Ponte Claire, ville",municipality,,
Pontiac,municipality,,
"Pope, Gravel, Wurtele & Moreau",municipality,,
Port Alfred,municipality,,
Port Daniel Est,municipality,,
Port Daniel Est - East,municipality,,
Port Daniel Ouest - West,municipality,,
"Port Daniel, partie Est",municipality,,
"Port Daniel, partie est",municipality,,
Port-Daniel Ouest,municipality,,
Port-Daniel-Est (East),municipality,,
Portage du Fort,municipality,,
Portage-du-Fort,municipality,,
"Portland, partie Est",municipality,,
"Portland, partie Ouest",municipality,,
Portneuf,municipality,,
"Portneuf, parish",municipality,,
"Portneuf, paroisse",municipality,,
"Portneuf, village",municipality,,
"Portneuf, villlage",municipality,,
Posonby,municipality,,
Potton,municipality,,
"Potton , canton",municipality,,
"Potton, c'ton - t'ship",municipality,,
"Potton, canton",municipality,,
Prince Edward Island,,CA,CA-PE
Prince Edward Island,province,CA,CA-PE
Prince Edward Island,prov,CA,CA-PE
Princeville,municipality,,
Privat,municipality,,
Péribonca,municipality,,
QUE.,,CA,CA-QC
QUE.,province,CA,CA-QC
QUEBEC,,CA,CA-QC
QUEBEC,province,CA,CA-QC
Quarantaine Grosse Ile,municipality,,
Quarantaine de la Grosse Ile,municipality,,
Quarantaine de la Grosse Isle,municipality,,
Quarantaine de la Grossse Ile,municipality,,
Que.,,CA,CA-QC
Que.,province,CA,CA-QC
Quebec,,CA,CA-QC
Quebec,province,CA,CA-QC
Quebec,prov,CA,CA-QC
Quebec City,municipality,,
Quyon,municipality,,
Qué.,,CA,CA-QC
Québec,municipality,,
Rawdon,municipality,,
Ribouski,municipality,,
"Richelieu, village",municipality,,
Richmond,municipality,,
"Richmond, ville",municipality,,
Richond,municipality,,
Rigaud,municipality,,
"Rigaud, par",municipality,,
"Rigaud, paroisse",municipality,,
"Rigaud, paroisse (parish)",municipality,,
"Rigaud, village",municipality,,
"Rigaud, ville",municipality,,
"Rigaud, ville - town",municipality,,
"Rigaud, ville et paroisse",municipality,,
"Rigauld, ville (town)",municipality,,
Rimouski,municipality,,
"Rimouski, paroisse",municipality,,
"Rimouski, paroisse (parish)",municipality,,
"Rimouski, town",municipality,,
"Rimouski, ville",municipality,,
"Rimouski, ville (town)",municipality,,
Ripom,municipality,,
Ripon,municipality,,
"Ripon, canton",municipality,,
Risborough & Marlow,municipality,,
Risborough and Marlow,municipality,,
Risborough et Marlow,municipality,,
Ristigouche,municipality,,
Ristigouche Ouest (West),municipality,,
Ristigouche S.E.,municipality,,
Ristigouche Sud-Est,municipality,,
"Ristigouche, S.E.",municipality,,
Riviere Lafleur,municipality,,
Riviere Ouelle,municipality,,
Riviere du Loup,municipality,,
Riviere du Loup en Bas Paroisse,municipality,,
"Riviere du Loup, cite",municipality,,
"Riviere du Loup, paroisse",municipality,,
Riviere-du-Lorp,municipality,,
Riviere-du-Loup,municipality,,
Rivieres-du-Moulin,municipality,,
"Rivièe du Loup, cité",municipality,,
Rivière Ouelle,municipality,,
Rivière du Loup en Bas,municipality,,
"Rivière du Loup, cité",municipality,,
"Rivière du Loup, paroisse",municipality,,
"Roayl, Roussilon & Poularies",municipality,,
Robertson et Pope,municipality,,
Robertsonville,municipality,,
Roberval,municipality,,
"Roberval, paroisse",municipality,,
"Roberval, ville",municipality,,
Rock Forest,municipality,,
Rock Island,municipality,,
"Rock Island, village",municipality,,
"Rolette, Panet & Talon",municipality,,
"Rolette, Panet & Talon cantons (township)",municipality,,
Rouville,municipality,,
"Roux, Bellechasee et Daaquam",municipality,,
"Roux, Bellechasse & Daaquam",municipality,,
"Roux, Bellechasse et Daaquam",municipality,,
Roxton Falls,municipality,,
"Roxton, canton",municipality,,
Roxton-Falls,municipality,,
"Royal, Roussillon & Poularies",municipality,,
"Royal, Roussilon et Poularies",municipality,,
Royalm Poussillon & Poularies,municipality,,
S-Damase,municipality,,
"S-Denis, village",municipality,,
S.-C. de Jésis de Crabtree Mills,municipality,,
SASK.,,CA,CA-SK
SASK.,province,CA,CA-SK
SASKATCHEWAN,,CA,CA-SK
SASKATCHEWAN,province,CA,CA-SK
Sabrevois,municipality,,
Sac-au-Saumon,municipality,,
Sacre-Coeur de Marie,municipality,,
Sacré-Coaur de Jésus de Crabtree Mills,municipality,,
Sacré-Coeur de Jésus,municipality,,
Sacré-Coeur de Jésus de Crabtree Mills,municipality,,
Sacré-Coeur de Marie,municipality,,
Saindon,municipality,,
"Saindon, village",municipality,,
Saint Agnes,municipality,,
"Saint-Hyacinthe, ville (town)",municipality,,
Saints-Anges,municipality,,
Sask.,,CA,CA-SK
Sask.,province,CA,CA-SK
Saskatchewan,,CA,CA-SK
Saskatchewan,province,CA,CA-SK
Saskatchewan,prov,CA,CA-SK
Sawyerville,municipality,,
Sayabec,municipality,,
Scotstown,municipality,,
Scotts town,municipality,,
Scottstown,municipality,,
Senneterre,municipality,,
"Senneterre, partie Ouest",municipality,,
"Senneterre, partie ouest",municipality,,
Senneville,municipality,,
Sept Cantons Unis,municipality,,
Sept Cantons Unis du Saguenay,municipality,,
Shawbridge,municipality,,
Shawenegan Falls,municipality,,
Shawinigan,municipality,,
Shawinigan Falls,municipality,,
Shawinigan-Falls,municipality,,
Shawiningan Falls,municipality,,
Shawville,municipality,,
"Sheen, Esher, Aberdeen & Malakoff",municipality,,
"Sheen, Esher, Aberdeen et Malakoff",municipality,,
"Sheen, Sher, Aberdeen & Malakoff",municipality,,
Shefford,municipality,,
Shefford Ouest,municipality,,
Shefford canton,municipality,,
"Shefford, Ouest",municipality,,
"Shefford, c'ton - t'ship",municipality,,
"Shefford, canton",municipality,,
Sherbrooke,municipality,,
"Sherbrooke, cite",municipality,,
"Sherbrooke, cite (city)",municipality,,
"Sherbrooke, cite - City",municipality,,
"Sherbrooke, cite - city",municipality,,
"Sherbrooke, cité",municipality,,
Sherrington,municipality,,
Shipton,municipality,,
"Shipton, canton (township)",municipality,,
Sillery,municipality,,
Somerset Nord,municipality,,
Somerset Nord (north),municipality,,
Somerset Sud,municipality,,
"Somerset, Nord",municipality,,
Somerset-Nord (North),municipality,,
Somerst Sud,municipality,,
Sommerset Nord,municipality,,
Sommerset Nord (North),municipality,,
Sommerset Su (South),municipality,,
Sommerset Sud,municipality,,
Sommerset sud,municipality,,
Sorel,municipality,,
"Sorel, cité",municipality,,
"Soulanges, village",municipality,,
South Durham,municipality,,
St- Gervais,municipality,,
St- Severin,municipality,,
St-Acicet,municipality,,
St-Aime,municipality,,
St-Aimé,municipality,,
St-Alban,municipality,,
St-Alban du Cap des Rosiers,municipality,,
"St-Alban, village",municipality,,
St-Alban-du-Cap-des-Rosiers,municipality,,
St-Albert de Warwick,municipality,,
St-Alexandre,municipality,,
St-Alexandre village,municipality,,
"St-Alexandre, par",municipality,,
"St-Alexandre, paroisse",municipality,,
"St-Alexandre, village",municipality,,
St-Alexis,municipality,,
St-Alexis de Marapedia,municipality,,
St-Alexis de Matapedia,municipality,,
St-Alexis de Matapédia,municipality,,
St-Alexis de Montcalm,municipality,,
St-Alexis des Months,municipality,,
St-Alexis des Monts,municipality,,
"St-Alexis, village",municipality,,
St-Alphonse,municipality,,
St-Alphonse de Granby,municipality,,
St-Ambroise,municipality,,
St-Andre,municipality,,
St-Andre (chantiers),municipality,,
St-Andre Avellin,municipality,,
"St-Andre Avellin, village",municipality,,
St-Andre Avelln,municipality,,
St-Andre Est (East),municipality,,
St-Andre d'Acton,municipality,,
St-Andre-Avellin,municipality,,
St-Andrews,municipality,,
St-André,municipality,,
St-André Avellin village et paroisse,municipality,,
"St-André Avellin, par",municipality,,
St-André d'acton,municipality,,
St-Ange Gardie,municipality,,
St-Ange Gardien,municipality,,
St-Anicet,municipality,,
St-Anne de Beaupre,municipality,,
St-Anne de Bellevue,municipality,,
St-Anne de Sorel,municipality,,
St-Anselme,municipality,,
"St-Anselme, village",municipality,,
St-Antoine Abbe,municipality,,
St-Antoine de Longueuil,municipality,,
St-Antoine de Padoue,municipality,,
St-Antoine de Padoue de Kempt,municipality,,
St-Antoine de Pontbriand,municipality,,
St-Antoine de Tilly,municipality,,
St-Antoine de la Baie du Febvre,municipality,,
St-Antoine de la Rivière du Loup,municipality,,
St-Antonin,municipality,,
St-Apollinaire,municipality,,
"St-Apollinaire, paroisse",municipality,,
St-Armand Est,municipality,,
St-Armand Est-East,municipality,,
St-Armand Ouest,municipality,,
St-Armand-Est,municipality,,
St-Armand-Est (East),municipality,,
St-Arsene,municipality,,
St-Arsène,municipality,,
St-Athanase,municipality,,
St-Aubert,municipality,,
St-Augustin,municipality,,
St-Banabe,municipality,,
"St-Banoit Joseph Labre, village",municipality,,
St-Barnabe,municipality,,
St-Barnabe de Gatineau,municipality,,
St-Barnabé,municipality,,
St-Barthelemi,municipality,,
St-Barthéleemi de Dusablé,municipality,,
St-Barthélémi,municipality,,
St-Barthélémi de Dusablé,municipality,,
St-Basile,municipality,,
St-Basile le Grand,municipality,,
St-Bathelemi,municipality,,
St-Bathélémy,municipality,,
St-Benoit Joseph Labre village,municipality,,
"St-Benoit Joseph Labre, paroisse",municipality,,
"St-Benoit Joseph Labre, village",municipality,,
St-Benoit Jospeh Labre village,municipality,,
St-Benoit Labre,municipality,,
"St-Benoit, village et paroisse",municipality,,
St-Benoit-Joseph Labre village,municipality,,
"St-Benoit-Joseph Labre, village",municipality,,
"St-Benoit-Joseph-Labre, village",municipality,,
St-Bernard,municipality,,
St-Bernard de Lacolle,municipality,,
St-Blaise,municipality,,
St-Bonaventure,municipality,,
St-Bonaventure d'Upton,municipality,,
St-Bonaventure de Hamilton,municipality,,
St-Bonaventure de Hamitlon,municipality,,
St-Bonavenure d'Upton,municipality,,
St-Boniface de Shawinigan,municipality,,
"St-Boniface de Shawinigan, village",municipality,,
St-Bruno,municipality,,
St-Bruno de Montarville,municipality,,
St-Bruno de Woodbridge,municipality,,
St-Cajetan d'Armagh,municipality,,
St-Camille,municipality,,
St-Camille de Leslis,municipality,,
St-Canut,municipality,,
St-Casimir,municipality,,
St-Casimir Est,municipality,,
St-Casimir Est - East,municipality,,
St-Casimir par,municipality,,
"St-Casimir, village",municipality,,
St-Casimir-Est,municipality,,
St-Celestin,municipality,,
St-Cesaire,municipality,,
"St-Cesaire, village",municipality,,
St-Charle de Caplan,municipality,,
St-Charles,municipality,,
St-Charles Borromée,municipality,,
St-Charles de Buckland,municipality,,
St-Charles de Caplan,municipality,,
St-Charles de Mandeville,municipality,,
"St-Charles, paroisse (parish)",municipality,,
"St-Charles, village",municipality,,
St-Charles-de-Caplan,municipality,,
St-Christophe,municipality,,
St-Chrysostome,municipality,,
"St-Chrysostome, par",municipality,,
"St-Chrysostome, paroisse (parish)",municipality,,
"St-Chrysostome, village",municipality,,
St-Claude,municipality,,
St-Clement,municipality,,
"St-Clement, paroisse",municipality,,
St-Clet,municipality,,
St-Clément,municipality,,
St-Clément de Beauharnois,municipality,,
St-Coeur de Marie,municipality,,
St-Colomb de Sillery,municipality,,
St-Come,municipality,,
St-Come de Kennebec,municipality,,
St-Constant,municipality,,
St-Croix,municipality,,
St-Cuthbert,municipality,,
St-Cyprien,municipality,,
St-Cyriac,municipality,,
St-Cyrille,municipality,,
St-Célestin,municipality,,
"St-Césaire, paroisse",municipality,,
St-Damase,municipality,,
St-Damien de Brandon,municipality,,
St-Damien de Buckland,municipality,,
St-David,municipality,,
St-David d'Estcourt,municipality,,
St-David de l'Auberiviere,municipality,,
St-Denis,municipality,,
St-Denis de la Bouteillerie,municipality,,
"St-Denis, paroisse",municipality,,
"St-Denis, village",municipality,,
St-Dominique,municipality,,
"St-Dominique, paroisse",municipality,,
St-Donat,municipality,,
St-Edmond,municipality,,
St-Edouard,municipality,,
St-Edouard de Frampton,municipality,,
St-Edwidge de Clifton,municipality,,
St-Eleuthière,municipality,,
St-Eleuthère,municipality,,
St-Elie d'Oford,municipality,,
St-Elie d'Orford,municipality,,
St-Elie de Caxton,municipality,,
St-Eloi,municipality,,
St-Engene,municipality,,
St-Ephrem d'Upton,municipality,,
St-Ephrem de Tring,municipality,,
St-Ephren d'Upton,municipality,,
St-Epiphane,municipality,,
St-Epophane de Viger,municipality,,
St-Etienne,municipality,,
St-Etienne de Lauzon,municipality,,
St-Etienne des Gres,municipality,,
St-Eugene,municipality,,
St-Eugene de Grantham,municipality,,
St-Eulalie,municipality,,
St-Eustache,municipality,,
"St-Eustache, par",municipality,,
"St-Eustache, village",municipality,,
St-Eusèbe,municipality,,
St-Evarsite de Forsynth,municipality,,
St-FRs-Xavier de Brompton,municipality,,
St-Fabien,municipality,,
"St-Fabien de Panet, partie sud-ouest",municipality,,
St-Felicien,municipality,,
"St-Felicien, village",municipality,,
St-Felix dde Valois,municipality,,
St-Felix de Valois,municipality,,
St-Fereol,municipality,,
St-Fidele,municipality,,
St-Flavien,municipality,,
"St-Flavien, parish",municipality,,
"St-Flavien, paroisse (parish)",municipality,,
"St-Flavien, village",municipality,,
St-Flore,municipality,,
St-Foy,municipality,,
St-Francois,municipality,,
St-Francois I.O.,municipality,,
St-Francois de Sales,municipality,,
St-Francois-Xanvier de Bompton,municipality,,
St-Francois-Xavier,municipality,,
St-Francois-Xavier de Brompton,municipality,,
St-Francois-de-Sales,municipality,,
St-François - Xavier de Brompton,municipality,,
St-François de Sales,municipality,,
St-François du Lac,municipality,,
St-François-Xavier de Brompton,municipality,,
St-François-Xavier des Hauteurs,municipality,,
St-Frederic,municipality,,
St-Frs-X de Brompton,municipality,,
St-Frs-X. de Brompton,municipality,,
St-Frs-Xavier de Brompton,municipality,,
St-Frs-Xavier des Hauteurs,municipality,,
St-Félicien,municipality,,
"St-Félicien, paroisse",municipality,,
"St-Félicien, village",municipality,,
St-Félix de Valois,municipality,,
St-Félix du Cap Rouge,municipality,,
St-Féréol,municipality,,
St-Gabried de Brandon,municipality,,
St-Gabriel,municipality,,
St-Gabriel de Brandon,municipality,,
St-Gabriel de Brandon paroisse (parish),municipality,,
St-Gabriel de Brandon village,municipality,,
"St-Gabriel de Brandon, par",municipality,,
"St-Gabriel de Brandon, paroisse (parish)",municipality,,
"St-Gabriel de Brandon, vill",municipality,,
"St-Gabriel de Brandon, village",municipality,,
St-Gedeon,municipality,,
St-Gedeon de Marlow,municipality,,
St-Georges,municipality,,
St-Georges de Windsor,municipality,,
"St-Georges, Est (East)",municipality,,
St-Gerard Magella,municipality,,
St-Gerard Majella,municipality,,
St-Germain,municipality,,
St-Germain de Grantham,municipality,,
St-Germain de Rimouski,municipality,,
St-German,municipality,,
St-Gervais,municipality,,
St-Godefroi,municipality,,
St-Godefroy,municipality,,
St-Gregoire le Grand,municipality,,
"St-Gregoire, par",municipality,,
St-Grégoire le Grand,municipality,,
St-Guillaume d'Upton,municipality,,
"St-Guillaume, par",municipality,,
"St-Guillaume, village",municipality,,
St-Helene,municipality,,
St-Henri,municipality,,
"St-Henri, village",municipality,,
St-Hermas,municipality,,
St-Hermenegilde,municipality,,
"St-Hermenegilde, vill",municipality,,
St-Hilaire,municipality,,
St-Hilaire de Dorset,municipality,,
"St-Hilaire, village",municipality,,
"St-Hillaire, village",municipality,,
St-Honoré,municipality,,
St-Hubert,municipality,,
St-Hugues,municipality,,
"St-Hugues, par",municipality,,
"St-Hugues, village",municipality,,
St-Hyacinthe,municipality,,
St-Hyacinthe cite (city),municipality,,
"St-Hyacinthe, cite",municipality,,
"St-Hyacinthe, cite (city)",municipality,,
"St-Hyacinthe, cité",municipality,,
"St-Hyacinthe, ville (town)",municipality,,
St-Hyancinth,municipality,,
St-Hyancinthe,municipality,,
St-Igance de Stanbridge,municipality,,
St-Ignace de Stanbridge,municipality,,
St-Ignace-du-Coteau,municipality,,
St-Irénée,municipality,,
St-Isidore,municipality,,
St-Isidore d'Auchland,municipality,,
St-Jacques,municipality,,
St-Jacques de Parisville,municipality,,
St-Jacques de l'Achigan,municipality,,
St-Jacques des Piles,municipality,,
St-Jacques le Mineur,municipality,,
"St-Jacques, par",municipality,,
"St-Jacques, village",municipality,,
St-Jacques-des-Piles,municipality,,
St-Jacques-le-Maajeur,municipality,,
St-Janvier,municipality,,
St-Jaques des Piles,municipality,,
St-Jaques-le-Majeur,municipality,,
St-Jean,municipality,,
St-Jean Baptiste,municipality,,
St-Jean Chrysostome,municipality,,
"St-Jean Chrysostome paroisse, parish",municipality,,
St-Jean Chrysostome village,municipality,,
"St-Jean Chrysostome, par",municipality,,
"St-Jean Chrysostome, paroisse",municipality,,
"St-Jean Chrysostome, village",municipality,,
St-Jean Chrysostôme,municipality,,
St-Jean Evangelise,municipality,,
St-Jean I.O.,municipality,,
St-Jean Port Joli,municipality,,
St-Jean Port-Joli,municipality,,
St-Jean Prt Joli,municipality,,
St-Jean cite,municipality,,
St-Jean de Boischatel,municipality,,
St-Jean de Dieu,municipality,,
St-Jean l'Evangeliste,municipality,,
St-Jean l'Evangiliste,municipality,,
St-Jean l'Evangéliste,municipality,,
"St-Jean, I.O.",municipality,,
"St-Jean, cite",municipality,,
"St-Jean, cite - city",municipality,,
"St-Jean, cite- city",municipality,,
"St-Jean, cité",municipality,,
"St-Jean, ville",municipality,,
"St-Jean, ville (city)",municipality,,
St-Jean-Baptiste,municipality,,
St-Jean-Baptiste de l'Ile Verte,municipality,,
St-Jean-Chrysostome,municipality,,
St-Jean-Port-Joli,municipality,,
St-Jean-Port_Joli,municipality,,
St-Jean-de-Dieu,municipality,,
St-Jean-l'Evangeliste,municipality,,
St-Jerome,municipality,,
St-Jerome paroisse (parish),municipality,,
"St-Jerome, paroisse",municipality,,
"St-Jerome, village",municipality,,
"St-Jerome, ville",municipality,,
"St-Jerome, ville (town)",municipality,,
"St-Jerome, ville -town",municipality,,
St-Jerusalem,municipality,,
St-Joachim,municipality,,
St-Joachim de Chateauguay,municipality,,
St-Joachim de Shefford,municipality,,
St-Joesph de Blandford,municipality,,
"St-Joesph de Sorel, village",municipality,,
St-Joseph,municipality,,
St-Joseph d'Alma,municipality,,
"St-Joseph d'Alma, village",municipality,,
St-Joseph de Blandford,municipality,,
St-Joseph de Coleraine,municipality,,
St-Joseph de Ham Sud,municipality,,
St-Joseph de Ham-Sud (South),municipality,,
St-Joseph de Lepage,municipality,,
St-Joseph de Levis,municipality,,
St-Joseph de Sorel,municipality,,
"St-Joseph de Soulaanges, village",municipality,,
St-Joseph de Soulanges,municipality,,
"St-Joseph de Soulanges, paroisse",municipality,,
"St-Joseph de Soulanges, paroisse (Parish)",municipality,,
"St-Joseph de Soulanges, village",municipality,,
St-Joseph de la Baie du Febvre,municipality,,
St-Joseph de la Pointe,municipality,,
St-Joseph de la Pointe Levis,municipality,,
"St-Joseph de la Rivière Bleue, village",municipality,,
St-Joseph du Lac,municipality,,
St-Joseph du Mont Rolland,municipality,,
St-Joseph du Mont-Rolland,municipality,,
"St-Joseph, paroisse (Parish)",municipality,,
"St-Joseph, paroisse (parish)",municipality,,
"St-Joseph, village",municipality,,
St-Jovite,municipality,,
"St-Jovite, village",municipality,,
St-Judes,municipality,,
St-Jules,municipality,,
St-Juste de Bretennière,municipality,,
St-Justin,municipality,,
St-Jérome,municipality,,
"St-Jérome de Matane, village",municipality,,
"St-Jérome, paroisse",municipality,,
"St-Jérome, village",municipality,,
"St-Jérome, village et paroisse",municipality,,
"St-Jérome, ville",municipality,,
"St-Jérôme, ville",municipality,,
St-Lambert,municipality,,
St-Larent I.O.,municipality,,
St-Laurent,municipality,,
St-Laurent I.O.,municipality,,
St-Laurent de Matapedia,municipality,,
"St-Laurent, I.O.",municipality,,
"St-Laurent, par",municipality,,
"St-Laurent, ville",municipality,,
"St-Laurent, ville et paroisse",municipality,,
St-Laurier I.O.,municipality,,
St-Lazare,municipality,,
St-Leon,municipality,,
St-Leon de Standon,municipality,,
St-Leon de Stanton,municipality,,
St-Leon le Grand,municipality,,
St-Leonard,municipality,,
St-Leonard d'Aston,municipality,,
St-Liboire,municipality,,
"St-Liboire, village",municipality,,
St-Liguori,municipality,,
St-Lin,municipality,,
St-Louis de Bonsecours,municipality,,
St-Louis de Chambord,municipality,,
St-Louis de France,municipality,,
St-Louis de Gonague,municipality,,
St-Louis de Gonzague,municipality,,
St-Louis du Ha Ha,municipality,,
St-Louis du Ha! Ha!,municipality,,
St-Luc,municipality,,
St-Luce,municipality,,
St-Léon de Standon,municipality,,
St-Léon le Grand,municipality,,
St-Léon le Grand de Dumontier,municipality,,
St-Léon le grand,municipality,,
St-Léonard d'Aston,municipality,,
"St-Léonard d'Aston, ville",municipality,,
St-Majorique,municipality,,
St-Malachie,municipality,,
St-Malachie d'Ormstown,municipality,,
St-Malachie de Frampton,municipality,,
St-Marc,municipality,,
St-Marc des Carrieres,municipality,,
St-Marc des Carrières,municipality,,
St-Marc-des-Carrières,municipality,,
St-Marcel,municipality,,
St-Marguerite,municipality,,
St-Marthe,municipality,,
St-Martin,municipality,,
St-Martine,municipality,,
St-Mathias,municipality,,
St-Mathias de Cabani,municipality,,
St-Mathias de Cabano,municipality,,
St-Mathieu,municipality,,
