disease,nesting_disease,historical_disease_family,historical_disease,historical_disease_subclass,icd_7,icd_7_subclass,icd_9,icd_9_subclass,cleaned_category,infection_type,infectious_agent,body_system_primarily_affected,organ_primarily_affected,additional_info,missing_info,pattern_family,pattern,pattern_subclass,exact_family,exact,exact_subclass,link_family,link,link_subclass,notes,original_dataset_id,scan_id,digitization_id
dengue,,EMD and Zoonotics,DENGUE,,,,,,,,,,,,,,,,,,,,,,,,,
dengue,,,Dengue Fever,,,,,,,,,,,,,,,,,,,,,,,,,
dengue-hemorrhagic-fever,dengue,,DENGUE HEMORRHAGIC FEVER,,,,65.4,,,,,,,,,,,,,,,,,,,,,
diarrhea,,,Diarrhoea,,,,,,intestinal-infectious-disease,unspecified,unspecified,GI,,,,,diar.*ea,,,^diar.*ea,,,,,,,,
diarrhea,,,epidemic diarrhoea,,,,,,,,,,,,,,,,,,,,,,,,,
diarrhea-enteritis,,,Diarrhoea and Enteritis,,,,,,intestinal-infectious-disease,unspecified,unspecified,GI,,,,,,,,,,,,,,,,
diphtheria,,,DIPHTHERIA CASES,,,,32,,,,,,,,,,,,,,,,,,,,,
diphtheria,,VPD,DIPHTHERIA CASES,,,,,,,,,,,,,,,,,,,,,,,,,
diphtheria,,,Diphtheria,,,,,,,bacterial,Corynebacterium-diphtheriae,unspecified,,,,,diphth,,,^diphtheria$,,,https://en.wikipedia.org/wiki/Diphtheria,,,,,
diphtheria,,,Diphtheria,,055,,,,,bacterial,Corynebacterium-diphtheriae,unspecified,,,,,diphth,,,^diphtheria$,,,https://en.wikipedia.org/wiki/Diphtheria,,,,,
diphtheria,,Other bacterial diseases,Diphtheria,,032,,,,,bacterial,Corynebacterium-diphtheriae,unspecified,,,,,diphth,,,^diphtheria$,,,https://en.wikipedia.org/wiki/Diphtheria,,,,,
diphtheria,,,Diphtheria,,032,,,,,bacterial,Corynebacterium-diphtheriae,unspecified,,,,,diphth,,,^diphtheria$,,,https://en.wikipedia.org/wiki/Diphtheria,,,,,
diphtheria,,,Diphtheria,,,,032,,,bacterial,Corynebacterium-diphtheriae,unspecified,,,,,diphth,,,^diphtheria$,,,https://en.wikipedia.org/wiki/Diphtheria,,,,,
diphtheria,,,diphtheria,,,,,,,bacterial,Corynebacterium-diphtheriae,unspecified,,,,,diphth,,,^diphtheria$,,,https://en.wikipedia.org/wiki/Diphtheria,,,,,
diphtheria-carrier,,,Diphtheria carrier,,,,,,,,,,,,,,,,,,,,,,,,,
diphtheria-carrier,,VPD,DIPHTHERIA CARRIERS,,,,,,,,,,,,,,,,,,,,,,,,,
diphtheria-carrier,,,DIPH.CARRIERS,,,,V02.4,,,,,,,,,,,,,,,,,,,,,
diphyllobothrium,,,DIPHYLLOBOTHRIUM SPP,,,,123.4,,,,,,,,,,,,,,,,,,,,,
diphyllobothrium,,EMD and Zoonotics,DIPHYLLOBOTHRIUM SPP,,,,,,,,,,,,,,,,,,,,,,,,,
diphyllobothrium,,Respiratory Diseases and TB,DIPHYLLOBOTHRIUM SPP,,,,,,,,,,,,,,,,,,,,,,,,,
diptheria-and-croup,,,Diphtheria and croup,,,,,,,,,,,,,,,,,,,,,,,,,
diptheria-and-croup,,,Diphtheria and Croup,,,,,,,,,,,,,,,,,,,,,,,,,
dysentery,,,Dysentery,,,,,,intestinal-infectious-disease,unspecified,unspecified,GI,,,,,diar.*ea,,,^diar.*ea,,,,,,,,
dysentery,,,Dysentery (all forms),,,,,,intestinal-infectious-disease,unspecified,unspecified,GI,,,,,diar.*ea,,,^diar.*ea,,,,,,,,
dysentery,,,Dysentery all forms,,,,,,intestinal-infectious-disease,unspecified,unspecified,GI,,,,,diar.*ea,,,^diar.*ea,,,,,,,,
dysentery,,,Dysentery (All Forms),,,,,,intestinal-infectious-disease,unspecified,unspecified,GI,,,,,diar.*ea,,,^diar.*ea,,,,,,,,
dysentery,,,Dysentery (All forms),,,,,,intestinal-infectious-disease,unspecified,unspecified,GI,,,,,diar.*ea,,,^diar.*ea,,,,,,,,
dysentery,,,dysentry,,,,,,intestinal-infectious-disease,unspecified,unspecified,GI,,,,,,,,,,,,,,,,
dysentery,,,Dyentery,,,,,,,,,,,,,,,,,,,,,,,,,
dysentery_other_unspecified,dysentery,,Dysentery,Other and unspecified,,048,,,intestinal-infectious-disease,unspecified,unspecified,GI,,,,,diar.*ea,,,^diar.*ea,,,,,,,,
dysentery_unspecified,dysentery,,Dysentery,Unspecified,,048,,,intestinal-infectious-disease,unspecified,unspecified,GI,,,,,diar.*ea,,,^diar.*ea,,,,,,,,
dysentery_unspecified,dysentery,,Dysentery (Unspecified),,,,,,intestinal-infectious-disease,unspecified,unspecified,GI,,,unspecified?,,diar.*ea,,,^diar.*ea,,,,,,,,
dysentery_unspecified,dysentery,,Dysentery (not stated),,,,,,intestinal-infectious-disease,unspecified,unspecified,GI,,,not stated?,,diar.*ea,,,^diar.*ea,,,,,,,,
dysentery_unspecified,dysentery,,dysentry a/b U,,,,,,,,,,,,,,,,,,,,,,,,,
e-coli,,,e-coli infection,,,,,,,,,,,,,,,,,,,,,,,,,
e-coli-meningitis,meningitis-bacterial,,BAC. MENINGITIS - E.COL,,,,320.82,,,,,,,,,,,,,,,,,,,,,
echinococcus-multilocularis-infection,,,echinococcus multilocularis infection,,,,,,,,,,,,,,,,,,,,,,,,,
encephalitis,,,ENCEPHALITIS,,,,54.3,,,,,,,,,,,,,,,,,,,,,
encephalitis,,,"Encephalitis, infectious",,,,,,,unspecified,unspecified,CNS,,infectious,,,encephalitis,,,^unspec.*encephalitis$,,,,,,,,
encephalitis,,,"Encephalitis, infectious",,082.0,,,,,unspecified,unspecified,CNS,,infectious,,,encephalitis,,,^unspec.*encephalitis$,,,,,,,,
encephalitis,,,"Encephalitis, infectious¹",,082.0,,,,,,,,,,,,,,,,,,,,,,,
encephalitis,,,"Encephalitis, infections",,082.0,,,,,unspecified,unspecified,CNS,,infectious,,,,,,,,,,,probable typo / misspelling of next entry,,,
encephalitis,,,Encephalitis,,,,,,,unspecified,unspecified,CNS,,,,,,,,,,,https://en.wikipedia.org/wiki/Encephalitis,,,,,
encephalitis,,,enc(ep). inf(ect).?,,,,,,,unspecified,unspecified,CNS,,infectious,,,,,,,,,,,probable typo / misspelling of next entry,,,
encephalitis,,,encephalitis,,,,,,,unspecified,unspecified,CNS,,,,,,,,,,,https://en.wikipedia.org/wiki/Encephalitis,,,,,
encephalitis-lethargica,encephalitis,,Encephalitis Lethargica,,,,,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Encephalitis_lethargica,,,,,
encephalitis-lethargica,encephalitis,,encep. lethargica,,,,,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Encephalitis_lethargica,,,,,
encephalitis-lethargica,encephalitis,,Encephalitis lethargica,,,,,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Encephalitis_lethargica,,,,,
encephalitis-meningitis,,,encephalitis/meningitis,,,,,,,bacterial,Haemophilus-influenzae-b,CNS,,,,,,,,,,,,,,,,
encephalitis_other,encephalitis,,OTHER ENCEPHALITIS,,,,323.9,,,,,,,,,,,,,,,,,,,,,
encephalitis_unspecified,encephalitis,,encephalitis (unspec.),,,,,,,,,,,,,,,,,,,,,,,,,
erysipelas,,,Erysipelas,,,,,,,bacterial,unspecified,skin,,,,,erysipelas,,,erysipelas,,,https://en.wikipedia.org/wiki/Erysipelas,,,,,
erysipelas,,,erysipelas,,,,,,,bacterial,unspecified,skin,,,,,erysipelas,,,erysipelas,,,https://en.wikipedia.org/wiki/Erysipelas,,,,,
flavivirus,,flavivirus,,,,,,,,,,,,,,,,,,,,,,,,,,
flavivirus_other,flavivirus,,Flavivirus (Other),,,,,,,,,,,,,,,,,,,,,,,,,
food-poisoning,,,"food poisoning, all causes",,,,,,,,,,,,,,,,,,,,,,,,,
food-poisoning-confirmed,food-poisoning,,food poisoning confirmed,,,,,,,,,,,,,,,,,,,,,,,,,
food-poisoning-not-confirmed,food-poisoning,,food poisoning suspected,,,,,,,,,,,,,,,,,,,,,,,,,
food-poisoning-staphylococcal-clostridium-perfringens-clostridia-other-vibrio-parahaemolyticus-bacillus-cereus-unspecified_ex-botulism_ex-salmonellosis_ex-shigellosis,food-poisoning,,Food poisoning,,,,,,intestinal-infectious-disease,bacterial,unspecified,GI,,food-borne,(1) Excluding Botulism 005.1,Salmonellosls 003 and Shigellosls 004. Including Staphylococcal 005.0,Clostridium perfringens 005.2,other Cloatridia 005.3,Vibrio parahaemolyticus 005.4,Bacillus cereus 005.8,unspecified 005.9.,,,,,,,
food-poisoning_other,food-poisoning,,FOOD POISONING OTHER,,,,5.9,,,,,,,,,,,,,,,,,,,,,
food-poisoning_other,food-poisoning,,FOOD POISONING OTHE R,,,,5.9,,,,,,,,,,,,,,,,,,,,,
food-poisoning_unspecified,food-poisoning,,Food poisoning,Unspecified,,049.2,,,intestinal-infectious-disease,bacterial,unspecified,GI,,food-borne,,,food,,,,,,https://en.wikipedia.org/wiki/Foodborne_illness,,,,,
food-poisoning_unspecified,food-poisoning,,food poisoning U,,,,,,,,,,,,,,,,,,,,,,,,,
gastroenteritis,,,gastroenteritis,,,,,,,,,,,,,,,,,,,,,,,,,
giardiasis,,,GIARDIA LAMBLIA,,,,7.1,,,,,,,,,,,,,,,,,,,,,
giardiasis,,Enterics,GIARDIASIS,,,,,,,,,,,,,,,,,,,,,,,,,
giardiasis,,,Giardiasis,,,,,,,parasite,Giardia-duodenalis,GI,,,,,,,,,,,https://en.wikipedia.org/wiki/Giardiasis,,,,,
giardiasis,,,Giardiasis,,,,007.1,,,parasite,Giardia-duodenalis,GI,,,,,,,,,,,https://en.wikipedia.org/wiki/Giardiasis,,,,,
giardiasis,,,giardiasis,,,,,,,parasite,Giardia-duodenalis,GI,,,,,,,,,,,https://en.wikipedia.org/wiki/Giardiasis,,,,,
goitre,,,Goitre,,,,,,,,,,thyroid,,,,,,,,,,,,,,,
gonococcal-infections,venereal-diseases,,Venereal diseases,Gonorrhoea,,,,,,,,,,,,,,,,,,,,,,,,
gonococcal-infections,venereal-diseases,STBBI,GONORRHEA,,,,,,,,,,,,,,,,,,,,,,,,,
gonococcal-infections,venereal-diseases,Venereal diseases,Gonococcal infections,,098,,,,,,,,,,,,,,,,,,,,,,,
gonococcal-infections,venereal-diseases,,Gonorrhea,,098,,,,STI,bacterial,Gonococcus,urogenital,,,,,gonor|gonoc,,,gonococcal.infection$,,,https://en.wikipedia.org/wiki/Gonorrhea,,,,,
gonococcal-infections,venereal-diseases,,Total Gonococcal infections,,,,098,,STI,unspecified,unspecified,unspecified,,,,,gonor|gonoc,,,gonococcal.infection$,,,https://en.wikipedia.org/wiki/Gonorrhea,,,,,
gonococcal-infections,venereal-diseases,,g(ono)c(occus)?,,,,,,,bacterial,Gonococcus,urogenital,,,,,,,,,,,https://en.wikipedia.org/wiki/Gonorrhea,,,,,
gonococcal-ophthalmia-neonatorum,gonococcal-infections,,Gonococcal infections,Ophthalmia Neonatorum,,,,098.4,STI,bacterial,unspecified,ocular,eye,,,,gonor|gonoc,gonor|gonoc,,gonococcal.infection$,gonoc.*eye,,https://en.wikipedia.org/wiki/Gonorrhea,https://en.wikipedia.org/wiki/Neonatal_conjunctivitis,,,,
gonococcal-ophthalmia-neonatorum,gonococcal-infections,,Gonococcal Ophthalmia Neonatorum,,,,098.4,,STI,bacterial,unspecified,ocular,eye,,,,gonor|gonoc,,,gonoc.*eye,,,https://en.wikipedia.org/wiki/Neonatal_conjunctivitis,,,,,
gonorrhea,gonococcal-infections,,Gonococcal infections,Others,,,,,,,,,,,,,,,,,,,,,,,,
gonorrhea,gonococcal-infections,,Venereal diseases,Gonorrhoea,,,,,STI,bacterial,Gonococcus,urogenital,,,,,,gonor|gonoc,,,,,https://en.wikipedia.org/wiki/Sexually_transmitted_infection,,inconsistent spelling,,,
gonorrhea,gonococcal-infections,,Venereal diseases,Gonorrhoea,,030-035,,,STI,bacterial,Gonococcus,urogenital,,,,,,gonor|gonoc,,,,,https://en.wikipedia.org/wiki/Sexually_transmitted_infection,,inconsistent spelling,,,
gonorrhea,gonococcal-infections,,Venereal diseases,Gonorrhoea,,030-034,,,,,,,,,,,,,,,,,,,,,,
gonorrhea,gonococcal-infections,,Gonococcal infections,Others,,,,098,STI,bacterial,Gonococcus,urogenital,,,,,gonor|gonoc,,,gonococcal.infection$,,,https://en.wikipedia.org/wiki/Gonorrhea,,,,,
gonorrhea,gonococcal-infections,,Gonococcal infections,Others,,,,,STI,bacterial,Gonococcus,urogenital,,,,,gonor|gonoc,,,gonococcal.infection$,,,https://en.wikipedia.org/wiki/Gonorrhea,,,,,
gonorrhea,gonococcal-infections,,Gonococcal infections (excluding 098.4),,,,098,,STI,bacterial,Gonococcus,urogenital,,,,,gonor|gonoc,,,,,,,,098.4 is ICD-9 gonoccocal infection of the eye,,,
gonorrhea,gonococcal-infections,,Gonococcal infections,,,,098,,STI,bacterial,Gonococcus,urogenital,,,,,gonor|gonoc,,,gonococcal.infection$,,,https://en.wikipedia.org/wiki/Gonorrhea,,,,,
gonorrhea,gonococcal-infections,,Gonorrhea,,,,,,STI,bacterial,Gonococcus,urogenital,,,,,gonor|gonoc,,,gonococcal.infection$,,,https://en.wikipedia.org/wiki/Gonorrhea,,,,,
gonorrhea,gonococcal-infections,,Gonorrhoea,,,,,,STI,bacterial,Gonococcus,urogenital,,,,,,,,,,,https://en.wikipedia.org/wiki/Gonorrhea,,,,,
gonorrhea,gonococcal-infections,,gonorrhoea,,,,,,STI,bacterial,Gonococcus,urogenital,,,,,,,,,,,https://en.wikipedia.org/wiki/Gonorrhea,,,,,
gonorrhea,gonococcal-infections,,gonorrhoea (all types),,,,,,STI,,,,,,,,,,,,,,,,,,,
granuloma-inguinale,other-venereal-diseases,,Granuloma inguinale,,,,,,STI,bacterial,Klebsiella-granulomatis,urogenital,,,,,granuloma,,,granuloma.inguinale,,,https://en.wikipedia.org/wiki/Granuloma_inguinale,,,,,
group-A-strep,,Non VPD,STREP. INVASIVE DISEASE,,,,,,,,,,,,,,,,,,,,,,Guessing that this is group-A.,,,
group-A-strep,,OTHER DISEASES,STREP. INVASIVE DISEASE (GROUP A),,,,,,,,,,,,,,,,,,,,,,,,,
group-A-strep,,,"Streptococcal Disease - Group A, Invasive",,,,,,,bacterial,group-A-streptococcus,unspecified,,,,,strep,,,,,,https://en.wikipedia.org/wiki/Group_A_streptococcal_infection,,,,,
group-A-strep,,,Invasive Group A Streptococcal Disease,,,,"034, 035, 670",,,bacterial,group-A-streptococcus,unspecified,,,,,strep,,,,,,https://en.wikipedia.org/wiki/Group_A_streptococcal_infection,,,,,
group-A-strep,,,"group a streptococcal disease, invasive",,,,,,,bacterial,group-A-streptococcus,unspecified,,,,,,,,,,,https://en.wikipedia.org/wiki/Group_A_streptococcal_infection,,,,,
group-A-strep,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group-A-strep_other,group-A-strep,,STREP PYOGENES - OTHER STER,,,,41.1,,,,,,,,,,,,,,,,,,,,,
group-A-strep_other,group-A-strep,,STREP PYOGENES - OTHER STERILE,,,,41.1,,,,,,,,,,,,,,,,,,,,,
group-B-strep,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group-B-strep-neonates,group-B-strep,,"Streptococcal Disease - Group B, Newborn",,,,,,,bacterial,group-B-Streptococcus,unspecified,,,,,strep,,,,,,https://en.wikipedia.org/wiki/Group_B_streptococcal_infection,,,,,
group-B-strep-neonates,group-B-strep,,Group B Streptococcal Disease in Neonates,,,,038,,,bacterial,group-B-Streptococcus,unspecified,,,,,strep,,,,,,https://en.wikipedia.org/wiki/Group_B_streptococcal_infection,,,,,
group-B-strep-neonates,group-B-strep,,"group b streptococcal disease, neonatal",,,,,,,bacterial,group-B-Streptococcus,unspecified,,,,,,,,,,,https://en.wikipedia.org/wiki/Group_B_streptococcal_infection,,,,,
group-B-strep-newborn,group-B-strep,OTHER DISEASES,STREP. AGALACTIAE (NEWBORN),,,,,,,,,,,,,,,,,,,,,,,,,
guillain-barre-syndrome,,,guillain barre syndrome,,,,,,,,,,,,,,,,,,,,,,,,,
haemophilus-influenza,,,,,,,,,,,,,,,,,,,,,,,,,,,,
haemophilus-influenza-invasive,haemophilus-influenzae,,"haemophilus influenzae disease, all types, invasive",,,,,,,,,,,,,,,,,,,,,,,,,
haemophilus-influenza-other-sterile,haemophilus-influenza,,H.INFLUENZAE (OTHER STERILE),,,,41.5,,,,,,,,,,,,,,,,,,,,,
haemophilus-influenzae,,VPD,H.INFLUENZAE,,,,,,,,,,,,,,,,,,,,,,,,,
haemophilus-influenzae,,haemophilus-influenzae,,,,,,,,,,,,,,,,,,,,,,,,,,
haemophilus-influenzae-b,haemophilus-influenzae,,Haemophilus influenza B (invasive),,,,"320.0, 038.4",,,bacterial,Haemophilus-influenzae-b,respiratory,,invasive,,,h.*mophilus,,,,,,,,,,,
haemophilus-influenzae-b,haemophilus-influenzae,,H. influenza B (invasive) Infection,,,,"320.0, 038.4",,,bacterial,Haemophilus-influenzae-b,respiratory,,invasive,,,h.*mophilus,,,,,,https://en.wikipedia.org/wiki/Haemophilus_influenzae,,,,,
haemophilus-influenzae-b,haemophilus-influenzae,,Haemophilus influenza B (all invasive),,,,"320.0, 038.41*",,,bacterial,Haemophilus-influenzae-b,respiratory,,invasive,(2) Includes buccal cellulitis or epiglottitis 464.3 in a child <5 years with no other causative organisms isolated.,,,,,,,,,,,,,
haemophilus-influenzae-b,haemophilus-influenzae,,Haemophilus influenza B (all invasive),,,,"320.0, 038.41",,,bacterial,Haemophilus-influenzae-b,respiratory,,invasive,(2) Includes buccal cellulitis or epiglottitis 464.3 in a child <5 years with no other causative organisms isolated.,,,,,,,,,,,,,
haemophilus-influenzae-b,haemophilus-influenzae,,H. influenza B (invasive),,,,"320.0, 038.41",,,bacterial,Haemophilus-influenzae-b,respiratory,,invasive,(2) Includes buccal cellulitis or epiglottitis 464.3 in a child <5 years with no other causative organisms isolated.,,,,,,,,,,,,,
haemophilus-influenzae-b-non-meningitis,haemophilus-influenzae-b,,H.I.B.-NON MTGS,,,,41.5,,,,,,,,,,,,,,,,,,,,,
haemophilus-influenzae-blood,haemophilus-influenzae,,H.INFLUENZAE (BLOOD),,,,38.42,,,,,,,,,,,,,,,,,,,,,
haemophilus-influenzae-csf,haemophilus-influenza,,H.INFLUENZAE (CSF),,,,320,,,,,,,,,,,,,,,,,,,,,
haemophilus-influenzae-non-b,haemophilus-influenzae,,HAEM. INFLUENZAE (non-B),,,,41.59,,,,,,,,,,,,,,,,,,,,,
haemophilus-influenzae-nonserotype-b,haemophilus-influenzae-b,VPD,H. INFLUENZAE (NON-SEROTYPE B),,,,,,,,,,,,,,,,,,,,,,,,,
haemophilus-influenzae-nonserotype-b,haemophilus-influenzae-b,,"Haemophilus Influenzae - Non-Serotype B, Invasive",,,,,,,bacterial,Haemophilus-influenzae-b,respiratory,,invasive,,,h.*mophilus,,,,,,https://en.wikipedia.org/wiki/Haemophilus_influenzae,,duplicate of next entry (error in data entry need to add),,,
haemophilus-influenzae-serotype-b,haemophilus-influenzae-b,VPD,H. INFLUENZAE (SEROTYPE B),,,,,,,,,,,,,,,,,,,,,,,,,
haemophilus-influenzae-serotype-b,haemophilus-influenzae-b,,"Haemophilus Influenzae - Serotype B, Invasive",,,,,,,bacterial,Haemophilus-influenzae-b,respiratory,,invasive,,,h.*mophilus,,,,,,https://en.wikipedia.org/wiki/Haemophilus_influenzae,,,,,
hansens-disease,,,leprosy (hansen),,,,,,,,,,,,,,,,,,,,,,,,,
hantavirus,,,HANTA VIRUS,,,,480.8,,,,,,,,,,,,,,,,,,,,,
hantavirus,,EMD and Zoonotics,HANTA VIRUS,,,,,,,,,,,,,,,,,,,,,,,,,
hantavirus,,Respiratory Diseases and TB,HANTA VIRUS,,,,,,,,,,,,,,,,,,,,,,,,,
hantavirus-pulmonary-syndrome,,,Hantavirus,,,,,,,viral,hantavirus,respiratory,lungs,,,,hanta,,,hanta,,,https://en.wikipedia.org/wiki/Hantavirus_pulmonary_syndrome,,,,,
hantavirus-pulmonary-syndrome,,,Hantavirus Pulmonary Syndrome,,,,480.8,,,viral,hantavirus,respiratory,lungs,,,,hanta,,,hanta,,,https://en.wikipedia.org/wiki/Hantavirus_pulmonary_syndrome,,,,,
hemolytic-uremic-syndrome,,,HEMOLYTIC UREMIC SYNDROME,,,,283.11,,,,,,,,,,,,,,,,,,,,,
hemolytic-uremic-syndrome,,,HEMOLYTIC UREMIC SYNDROME,,,,283.1 1,,,,,,,,,,,,,,,,,,,,,
hemolytic-uremic-syndrome,,,Haemolytic Uremic Syndrome,,,,,,,,,,,,,,,,,,,,,,,,,
hepatitis,,Enterics,HEPATITIS,,,,,,,,,,,,,,,,,,,,,,,,,
hepatitis,,hepatitis,,,,,,,,,,,,,,,,,,,,,,,,,,
hepatitis-A,hepatitis-A-B,,HEPATITIS A,,,,70.1,,,,,,,,,,,,,,,,,,,,,
hepatitis-A,hepatitis-A-B,Enterics,HEPATITIS A,,,,,,,,,,,,,,,,,,,,,,,,,
hepatitis-A,hepatitis-A-B,,Hepatitis A,,,,,,,viral,unspecified,digestive,liver,,,,hepatitis,,,hepatitis.a,,,https://en.wikipedia.org/wiki/Hepatitis_A,,,,,
hepatitis-A,hepatitis-A-B,Other virus diseases,Hepatitis infectious,,070,,,,,viral,unspecified,digestive,liver,,is this all- unspecified- or other? - unspecified,,hepatitis,,,,,https://en.wikipedia.org/wiki/Viral_disease,,,,,,
hepatitis-A,hepatitis-A-B,,Hepatitis,infectious,,070,,,,viral,unspecified,digestive,liver,,,,hepatitis,,,,,,https://en.wikipedia.org/wiki/Hepatitis,,,,,
hepatitis-A,hepatitis-A-B,,Hepatitis,infectious (A),,070,,,,viral,unspecified,digestive,liver,,,,hepatitis,,,,,,https://en.wikipedia.org/wiki/Hepatitis,,,,,
hepatitis-A,hepatitis-A-B,,Hepatitis A,,,,"070.0, 070.1",,,viral,unspecified,digestive,liver,,,,hepatitis,,,hepatitis.a,,,https://en.wikipedia.org/wiki/Hepatitis_A,,,,,
hepatitis-A,hepatitis-A-B,,Infectious Hepatitis,,,,,,,viral,unspecified,digestive,liver,,,,hepatitis,,,,,,https://en.wikipedia.org/wiki/Hepatitis,,,,,
hepatitis-A,hepatitis-A-B,,Hepatitis Infectious,,,,,,,viral,unspecified,digestive,liver,,,,hepatitis,,,,,,,,,,,
hepatitis-A,hepatitis-A-B,,inf(ect). hep(atitis).?,,,,,,,,,,,,,,,,,,,,,,,,,
hepatitis-A,hepatitis-A-B,,infectious hepatitis (a),,,,,,,,,,,,,,,,,,,,,,,,,
hepatitis-A,hepatitis-A-B,,hepatitis a,,,,,,,viral,unspecified,digestive,liver,,,,hepatitis,,,hepatitis.a,,,https://en.wikipedia.org/wiki/Hepatitis_A,,,,,
hepatitis-A-B,hepatitis,,"Hepatitis, infectious (including serum hepatitis)",,"092,N988.5",,,,,viral,unspecified,digestive,liver,,,,hepatitis,,,,,,,,,,,
hepatitis-A-B,hepatitis,,"Hepatitis, infectious (including serum hepatitis)",,"092, N998.5",,,,,viral,unspecified,digestive,liver,,,,hepatitis,,,,,,,,,,,
hepatitis-A-B,hepatitis,,Hepatitis,,,,,,,viral,unspecified,digestive,liver,,,,hepatitis,,,,,,https://en.wikipedia.org/wiki/Hepatitis,,,,,
hepatitis-A-B,hepatitis,,Epidemic Hepatitis,,,,,,,viral,unspecified,digestive,liver,,,,,,,,,,https://en.wikipedia.org/wiki/Hepatitis,,is this all- unspecified- or other? Is this definitely viral?,,,
hepatitis-A-B,hepatitis,,"Hepatitis, Epidemic",,,,,,,viral,unspecified,digestive,liver,epidemic,,,hepatitis,,,,,,,,,,,
hepatitis-A-B,hepatitis,,hepatitis,,,,,,,viral,unspecified,digestive,liver,,,,hepatitis,,,,,,https://en.wikipedia.org/wiki/Hepatitis,,,,,
hepatitis-B,hepatitis-A-B,,HEPATITIS B,,,,70.3,,,,,,,,,,,,,,,,,,,,,
hepatitis-B,hepatitis-A-B,,Hepatitis B (Acute & Chronic),,,,,,,viral,unspecified,digestive,liver,,,,,,,,,,,,,,,
hepatitis-B,hepatitis-A-B,Other virus diseases,Hepatitis serum,,999.2,,,,,,,,,,,,,,,,,,,,,,,
hepatitis-B,hepatitis-A-B,,Hepatitis,Serum,,999.2,,,,,,,,,,,,,,,,,,,,,,
hepatitis-B,hepatitis-A-B,,Hepatitis,Serum (B),,999.2,,,,,,,,,,,,,,,,,,,,,,
hepatitis-B,hepatitis-A-B,,Hepatitis B,,,,"070.2, 070.3",,,,,,,,,,,,,,,,,,,,,
hepatitis-B,hepatitis-A-B,,serum hepatitis (b),,,,,,,,,,,,,,,,,,,,,,,,,
hepatitis-C,hepatitis-C-D-E,,HEPATITIS C,,,,70.51,,,,,,,,,,,,,,,,,,,,,
hepatitis-C,hepatitis-C-D-E,STBBI,HEPATITIS C,,,,,,,,,,,,,,,,,,,,,,,,,
hepatitis-C,hepatitis-C-D-E,,Hepatitis C (Acute & Chronic),,,,,,,viral,unspecified,digestive,liver,,,,hepatitis.c,,,acute.hepatitis.c,,,https://en.wikipedia.org/wiki/Hepatitis_C,,,,,
hepatitis-C,hepatitis-C-D-E,,Hepatitis C,,,,,,,viral,unspecified,digestive,liver,,,,hepatitis.c,,,acute.hepatitis.c,,,https://en.wikipedia.org/wiki/Hepatitis_C,,,,,
hepatitis-C,hepatitis-C-D-E,,hepatitis c,,,,,,,viral,unspecified,digestive,liver,,,,hepatitis.c,,,acute.hepatitis.c,,,https://en.wikipedia.org/wiki/Hepatitis_C,,,,,
hepatitis-C-D-E,,hepatitis-C-D-E,,,,,,,,,,,,,,,,,,,,,,,,,,
hepatitis-D,hepatitis-C-D-E,,hepatitis d,,,,,,,,,,,,,,,,,,,,,,,,,
hepatitis-E,hepatitis-C-D-E,,Hepatitis E,,,,,,,viral,unspecified,digestive,liver,,,,,,,,,,,,,,,
hepatitis-b,hepatitis,STBBI,HEPATITIS B*,,,,,,,,,,,,,,,,,,,,,,,,,
hepatitis-b-acute,hepatitis-B,,hepatitis b (acute),,,,,,,,,,,,,,,,,,,,,,Counts of chronic and acute hepatitis B are not mutually exclusive and should therefore not be summed together.,,,
hepatitis-b-chronic,hepatitis-B,,"hepatitis b, chronic",,,,,,,,,,,,,,,,,,,,,,Counts of chronic and acute hepatitis B are not mutually exclusive and should therefore not be summed together.,,,
hepatitis-viral_ex-A_ex-B,hepatitis-C-D-E,,Hepatitis other and unspecified viral,,,,"070.4, 070.5, 070.6, 070.9",,,unspecified,unspecified,digestive,liver,,,,hepatitis,,,,,,,,,,,
hepatitis-viral_ex-A_ex-B,hepatitis-C-D-E,,Hepatitis other and unspecified viral,,,,,,,unspecified,unspecified,digestive,liver,,,,hepatitis,,,,,,,,,,,
hepatitis-viral_unspecified,hepatitis_unspecified,Non VPD,"VIRAL HEPATITIS, OTHER",,,,,,,,,,,,,,,,,,,,,,,,,
hepatitis-viral_unspecified,hepatitis_unspecified,,Hepatitis unspecified viral,,,,,,,viral,unspecified,digestive,liver,,,,hepatitis,,,,,,,,,,,
hepatitis_ex-A_ex-B,hepatitis-C-D-E,,Hepatitis other,,,,,,,unspecified,unspecified,digestive,liver,,,,,,,,,,,,,,,
hepatitis_ex-A_ex-B,hepatitis-C-D-E,,"Hepatitis non-A, non-B",,,,,,,unspecified,unspecified,digestive,liver,,,,hepatitis,,,,,,,,,,,
hepatitis_other,hepatitis_unspecified,,VIRAL HEP. OTHER,,,,70.59,,,,,,,,,,,,,,,,,,,,,
hepatitis_other,hepatitis_unspecified,,hepatitis (other),,,,,,,,,,,,,,,,,,,,,,,,,
